year,county,system,system_name,tvaas_composite,proficiency_rate,adm,number_of_schools,per_pupil_funding,pct_swd,pct_ed,pct_with_bachelors,crime_rate,median_home_sale_price
2015,Anderson,10,Anderson County,1,4.037774210733707,8.748939631537715,2.833213344056216,9.16279792907872,2.8918908427311854,4.069112876198128,3.1570004211501135,4.105119635390059,11.77528972943772
2015,Anderson,11,Clinton City,5,4.183575695950044,6.795705775173514,1.0986122886681098,9.162986675592713,2.897736086225572,4.1496533887085985,3.1570004211501135,4.105119635390059,11.77528972943772
2015,Anderson,12,Oak Ridge City,1,4.174387269895637,8.372398606513004,1.9459101490553132,9.421856587049414,2.6608360813882417,3.9604266463691613,3.1570004211501135,4.105119635390059,11.77528972943772
2015,Bedford,20,Bedford County,3,3.979681653901961,9.020389788017736,2.6390573296152584,8.956247802517957,2.3852336594192765,4.246432025745253,2.4849066497880004,3.933980172780188,11.652687407345388
2015,Benton,30,Benton County,3,4.041295341132285,7.665284718471351,2.0794415416798357,9.181344011534591,2.9317877530278884,3.9164694333852808,2.580216829592325,3.6893793291555874,11.266385335849623
2015,Bledsoe,40,Bledsoe County,1,3.871201010907891,7.422971251049421,1.6094379124341003,9.158615405484266,2.9816585463423273,4.4251258271557345,2.4849066497880004,2.976549454137217,11.461632170582678
2015,Blount,50,Blount County,1,4.046553898385752,9.259130536145614,2.995732273553991,9.0900805215449,2.5478775546593333,3.99210673790118,3.202746442938317,3.6524747722201365,12.037653993905211
2015,Blount,51,Alcoa City,2,4.097672352314776,7.52294091807237,1.0986122886681098,9.241839039035554,2.562610824122072,3.900115021072533,3.202746442938317,3.6524747722201365,12.037653993905211
2015,Blount,52,Maryville City,5,4.355425952876702,8.505929999137527,1.9459101490553132,9.22633182439423,2.5768270259186568,3.4695829042084823,3.202746442938317,3.6524747722201365,12.037653993905211
2015,Bradley,60,Bradley County,5,4.07753744390572,9.19023970026918,2.8903717578961645,9.039469010774729,2.4286613511235506,4.009050946956147,3.1354942159291497,4.43970574626056,11.883799128308773
2015,Bradley,61,Cleveland City,5,3.9684033388642534,8.55333223803211,2.0794415416798357,9.131210580800877,2.6649835367281307,4.241423531447219,3.1354942159291497,4.43970574626056,11.883799128308773
2015,Campbell,70,Campbell County,1,3.7954891891721947,8.591743922680534,2.6390573296152584,9.022817310782763,2.599317000965748,4.259126833059314,2.5257286443082556,4.29714934254078,11.56171562913966
2015,Cannon,80,Cannon County,1,3.960813169597578,7.572502985020384,1.9459101490553132,9.036177442883595,2.7842541324685786,4.013155997495419,2.572612230207106,3.342154841028372,11.70766954176274
2015,Carroll,92,Hollow Rock-Bruceton,3,3.8815637979434374,6.434546518787453,0.6931471805599453,9.02790680890976,3.0393154295155753,4.331218306348212,2.8903717578961645,3.850360345036039,11.119882876860622
2015,Carroll,93,Huntingdon Special School District,5,4.225372824628505,7.084226422097916,1.0986122886681098,9.006803350300892,2.8935768888451134,3.810756114780384,2.8903717578961645,3.850360345036039,11.119882876860622
2015,Carroll,94,McKenzie Special School District,3,4.197201947661808,7.182352111885263,1.0986122886681098,8.956234909523365,2.6614490199301577,4.070442968566157,2.8903717578961645,3.850360345036039,11.119882876860622
2015,Carroll,95,South Carroll Special School District,5,4.175924549214524,5.846438775057725,0,9.13270310224903,2.7779363285663767,4.155862440015751,2.8903717578961645,3.850360345036039,11.119882876860622
2015,Carroll,97,West Carroll Special School District,3,4.021773869387265,6.811244378601294,1.0986122886681098,9.056373008678756,3.02608520546604,4.2290265501853135,2.8903717578961645,3.850360345036039,11.119882876860622
2015,Carter,100,Carter County,5,3.9435216724875173,8.54907938027856,2.70805020110221,9.119748045579035,2.8335552828525055,4.338889883548589,2.803360380906535,4.024458434757935,11.547326891687561
2015,Carter,101,Elizabethton City,5,4.180522258463153,7.765569081097317,1.6094379124341003,9.162976190609829,2.7915860001579826,3.9909674805518884,2.803360380906535,4.024458434757935,11.547326891687561
2015,Cheatham,110,Cheatham County,2,4.051784947803305,8.738735461363474,2.5649493574615367,9.03748586095514,2.730494332300185,3.8929091539068446,3.0349529867072724,4.084294226368599,11.960811288962345
2015,Chester,120,Chester County,5,4.1956970564823886,7.928045600874777,1.791759469228055,8.946531063935957,2.3039895876069427,3.6887035680876283,2.9391619220655967,3.8066624897703196,11.497304084067272
2015,Claiborne,130,Claiborne County,1,3.899950424193877,8.369388996647842,2.5649493574615367,9.135983137990081,2.623177691328789,4.3434447654551365,2.6946271807700692,3.8817699622571253,11.568360171858329
2015,Clay,140,Clay County,3,3.8308129500026027,6.931471805599453,1.3862943611198906,9.131026565256457,2.7858607649918037,4.259050108990737,2.5494451709255714,3.521938999358284,11.32960340784269
2015,Cocke,150,Cocke County,1,3.9815490680767565,8.40200678160712,2.4849066497880004,9.132011195369387,2.7797287763732603,4.333289558923223,2.468099531471619,4.479833694676794,11.632928257364926
2015,Cocke,151,Newport City,1,4.183575695950044,6.57507584059962,0,9.12871808408909,2.667012013737098,4.060040407038332,2.468099531471619,4.479833694676794,11.632928257364926
2015,Coffee,160,Coffee County,5,4.075841090657541,8.36822903827628,2.302585092994046,9.112518039356646,2.6351464916232574,4.049481961469344,2.970414465569701,4.493903373559505,11.695247021764184
2015,Coffee,161,Manchester City,1,4.119037174812473,7.099201743553092,1.0986122886681098,9.418118477129536,3.0413619696423475,3.161451205782436,2.970414465569701,4.493903373559505,11.695247021764184
2015,Coffee,162,Tullahoma City,2,4.028916756899646,8.094073148069352,1.9459101490553132,9.227934680377134,2.7848249678485946,3.827700080062979,2.970414465569701,4.493903373559505,11.695247021764184
2015,Crockett,170,Crockett County,3,4.09933210373314,7.566311014772463,1.6094379124341003,8.998816549374014,2.452718429433319,4.1332938047288454,2.631888840136646,3.9392489916817377,11.260610536355738
2015,Crockett,171,Alamo City,5,4.152613470346076,6.359573868672378,0,9.06755486322762,2.4349742810397954,4.246536377564025,2.631888840136646,3.9392489916817377,11.260610536355738
